"Plot13"
"Time (sec)","Angular Displacement1 (deg)"
12.2399999999999,19.0010592357863
12.2799999999999,19.3033236142205
12.3199999999999,19.6039188325088
12.3599999999999,19.9028364404664
12.3999999999999,20.2000686120197
12.4399999999999,20.4956081313469
12.4799999999999,20.7894483788041
12.5199999999999,21.0815833166665
12.5599999999999,21.3720074747203
12.5999999999999,21.6607159357314
12.6399999999999,21.947704320824
12.6799999999999,22.2329687747927
12.7199999999999,22.5165059513785
12.7599999999999,22.7983129985305
12.7999999999999,23.0783875436787
12.8399999999999,23.3567276790395
12.8799999999999,23.6333319469755
12.9199999999999,23.9081993254293
12.9599999999999,24.1813292134496
12.9999999999999,24.4527214168268
13.0399999999999,24.7223761338551
13.0799999999999,24.9902939412351
13.1199999999999,25.2564757801305
13.1599999999999,25.5209229423931
13.1999999999999,25.7836370569665
13.2399999999999,26.0446200764792
13.2799999999999,26.303874264037
13.3199999999999,26.5614021802238
13.3599999999999,26.8172066703183
13.3999999999999,27.0712908517326
13.4399999999999,27.3236581016808
13.4799999999999,27.5743120450809
13.5199999999999,27.8232565426968
13.5599999999999,28.0704956795219
13.5999999999999,28.316033753408
13.6399999999999,28.5598752639486
13.6799999999999,28.8020249016024
13.7199999999999,29.0424875370793
13.7599999999999,29.2812682109747
13.7999999999999,29.5183721236588
13.8399999999999,29.7538046254194
13.8799999999999,29.9875712068596
13.9199999999999,30.2196774895477
13.9599999999999,30.4501292169184
13.9999999999999,30.6789322454285
14.0399999999999,30.9060925359566
14.0799999999999,31.1316161454538
14.1199999999999,31.35550921884
14.1599999999999,31.5777779811411
14.1999999999999,31.7984287298698
14.2399999999999,32.0174678276421
14.2799999999999,32.2349016950312
14.3199999999999,32.4507368036535
14.3599999999999,32.6649796694847
14.3999999999999,32.8776368464029
14.4399999999999,33.0887149199555
14.4799999999999,33.2982205013486
14.5199999999999,33.5061602216497
14.5599999999999,33.7125407262134
14.5999999999999,33.917368669311
14.6399999999999,34.1206507089736
14.6799999999999,34.3223935020396
14.7199999999999,34.5226036994053
14.7599999999999,34.7212879414761
14.7999999999999,34.9184528538139
14.8399999999999,35.1141050429807
14.8799999999999,35.3082510925726
14.9199999999999,35.5008975594438
14.9599999999999,35.6920509701174
15,35.8817178173817
